number,label,title,created,html_url,state
53,[],Add files via upload,2024-02-07 16:41:31+00:00,https://github.com/dymensionxyz/chain-registry/pull/53,open
54,[],Add files via upload,2024-02-07 16:41:42+00:00,https://github.com/dymensionxyz/chain-registry/pull/54,closed
55,[],update cherry_1491560-1,2024-02-07 16:43:11+00:00,https://github.com/dymensionxyz/chain-registry/pull/55,open
56,[],add talentbuilder_5444446-1 RollApp,2024-02-07 16:44:11+00:00,https://github.com/dymensionxyz/chain-registry/pull/56,closed
57,[],added RollApp,2024-02-07 16:51:40+00:00,https://github.com/dymensionxyz/chain-registry/pull/57,open
58,[],Add RollApp phuongdh_1836224-1,2024-02-07 16:56:12+00:00,https://github.com/dymensionxyz/chain-registry/pull/58,open
59,[],Add Zodiac chain,2024-02-07 16:56:35+00:00,https://github.com/dymensionxyz/chain-registry/pull/59,open
60,[],Adding  Rollapp  jado_1315517-1,2024-02-07 16:59:18+00:00,https://github.com/dymensionxyz/chain-registry/pull/60,open
61,[],Add files via upload,2024-02-07 17:00:25+00:00,https://github.com/dymensionxyz/chain-registry/pull/61,open
62,[],ngen_4291129-1,2024-02-07 17:04:24+00:00,https://github.com/dymensionxyz/chain-registry/pull/62,open
63,[],Shassi,2024-02-07 17:06:39+00:00,https://github.com/dymensionxyz/chain-registry/pull/63,closed
64,[],adding rollapp opium_4519955-1,2024-02-07 17:07:15+00:00,https://github.com/dymensionxyz/chain-registry/pull/64,open
65,[],Add files via upload,2024-02-07 17:20:03+00:00,https://github.com/dymensionxyz/chain-registry/pull/65,open
66,[],Add thorizer_1778361-1,2024-02-07 17:27:04+00:00,https://github.com/dymensionxyz/chain-registry/pull/66,closed
67,[],Update gonluzenginrollapp_6211025-1.json,2024-02-07 17:27:23+00:00,https://github.com/dymensionxyz/chain-registry/pull/67,closed
68,[],Change Celestia DA to Avail,2024-02-07 17:30:27+00:00,https://github.com/dymensionxyz/chain-registry/pull/68,closed
69,[],change DA Avail ,2024-02-07 17:33:03+00:00,https://github.com/dymensionxyz/chain-registry/pull/69,closed
70,[],Update coinhunterstr_9628364-1.json,2024-02-07 17:33:49+00:00,https://github.com/dymensionxyz/chain-registry/pull/70,open
71,[],Add thorizer_1778361-1,2024-02-07 17:37:30+00:00,https://github.com/dymensionxyz/chain-registry/pull/71,closed
72,[],Update dmax_3210602-1.json,2024-02-07 17:39:35+00:00,https://github.com/dymensionxyz/chain-registry/pull/72,open
73,[],Update bootstraprollapp_9294242-1.json,2024-02-07 17:44:42+00:00,https://github.com/dymensionxyz/chain-registry/pull/73,open
74,[],Update srknssmnrollapp_3009350-1.json,2024-02-07 17:45:32+00:00,https://github.com/dymensionxyz/chain-registry/pull/74,open
75,[],RollApp using DA AvailProject,2024-02-07 17:53:01+00:00,https://github.com/dymensionxyz/chain-registry/pull/75,closed
76,[],Add krews_5203950-1,2024-02-07 17:54:11+00:00,https://github.com/dymensionxyz/chain-registry/pull/76,closed
77,[],Update htonka_9297029-1.json,2024-02-07 17:54:58+00:00,https://github.com/dymensionxyz/chain-registry/pull/77,open
78,[],Add meloselo_4803583-1,2024-02-07 18:01:10+00:00,https://github.com/dymensionxyz/chain-registry/pull/78,open
79,[],Update meww_5192460-1.json,2024-02-07 18:04:47+00:00,https://github.com/dymensionxyz/chain-registry/pull/79,closed
80,[],added RollApp,2024-02-07 18:05:08+00:00,https://github.com/dymensionxyz/chain-registry/pull/80,open
81,[],Add mmuatt_2419679-1,2024-02-07 18:09:49+00:00,https://github.com/dymensionxyz/chain-registry/pull/81,open
82,[],Added my new RollApp,2024-02-07 18:15:19+00:00,https://github.com/dymensionxyz/chain-registry/pull/82,open
83,[],Add files via upload,2024-02-07 18:16:16+00:00,https://github.com/dymensionxyz/chain-registry/pull/83,open
84,[],Update terebelskabp_3997141-1.json,2024-02-07 18:17:53+00:00,https://github.com/dymensionxyz/chain-registry/pull/84,closed
85,[],morpheus_3668365-1,2024-02-07 18:23:01+00:00,https://github.com/dymensionxyz/chain-registry/pull/85,open
86,[],intruder_8053312-1,2024-02-07 18:32:05+00:00,https://github.com/dymensionxyz/chain-registry/pull/86,open
87,[],Update kriptosekici_7874642-1.json,2024-02-07 18:40:52+00:00,https://github.com/dymensionxyz/chain-registry/pull/87,closed
88,[],Add files via upload,2024-02-07 18:42:23+00:00,https://github.com/dymensionxyz/chain-registry/pull/88,open
89,[],Update taybew_6689942-1.json,2024-02-07 18:47:48+00:00,https://github.com/dymensionxyz/chain-registry/pull/89,closed
90,[],Update wwanyone_7167961-1.json,2024-02-07 19:04:32+00:00,https://github.com/dymensionxyz/chain-registry/pull/90,open
